description,silhouette,fabric,neckline,sleeve,length,embellishment,color,category
"Floor Length Jersey Casual Dress with V Neckline, Strapless, Feathers bodice and Sage shade in a Sheath silhouette.",Sheath,Jersey,V Neckline,Strapless,Floor Length,Feathers,Sage,Casual Dress
"Floor Length Jersey Cocktail Dress with Halter, Puff Sleeves, Sequins bodice and Sage shade in a Mermaid silhouette.",Mermaid,Jersey,Halter,Puff Sleeves,Floor Length,Sequins,Sage,Cocktail Dress
"Stylish Sheath dress crafted from Crepe featuring V Neckline, Cap Sleeves, Feathers accents and Pink color for a Cocktail Dress.",Sheath,Crepe,V Neckline,Cap Sleeves,Midi,Feathers,Pink,Cocktail Dress
"Stylish Ball Gown dress crafted from Chiffon featuring Halter, Puff Sleeves, Pleated accents and White color for a Prom Gown.",Ball Gown,Chiffon,Halter,Puff Sleeves,Floor Length,Pleated,White,Prom Gown
"Stylish Ball Gown dress crafted from Crepe featuring Sweetheart, Sleeveless, Feathers accents and Emerald color for a Cocktail Dress.",Ball Gown,Crepe,Sweetheart,Sleeveless,Midi,Feathers,Emerald,Cocktail Dress
"Stylish Mermaid dress crafted from Tulle featuring Halter, Long Sleeves, Corset accents and Dusty Blue color for a Casual Dress.",Mermaid,Tulle,Halter,Long Sleeves,Maxi,Corset,Dusty Blue,Casual Dress
"Green Chiffon A-line dress featuring Square Neckline, Short Sleeves, and Pleated finish. Perfect as a Casual Dress.",A-line,Chiffon,Square Neckline,Short Sleeves,Mini,Pleated,Green,Casual Dress
"Premium Chiffon Casual Dress with Sweetheart, Short Sleeves, Knee Length cut, Layered details and elegant Burgundy finish in Ball Gown style.",Ball Gown,Chiffon,Sweetheart,Short Sleeves,Knee Length,Layered,Burgundy,Casual Dress
"Elegant Ball Gown Crepe Bridesmaid Dress with Boat Neck, Strapless, Midi design, Beaded detailing in Silver.",Ball Gown,Crepe,Boat Neck,Strapless,Midi,Beaded,Silver,Bridesmaid Dress
"Stylish Ball Gown dress crafted from Velvet featuring Round Neckline, Puff Sleeves, Corset accents and Silver color for a Prom Gown.",Ball Gown,Velvet,Round Neckline,Puff Sleeves,Mini,Corset,Silver,Prom Gown
"Knee Length Cotton Formal Dress with Round Neckline, Puff Sleeves, Embroidered bodice and Pink shade in a Sheath silhouette.",Sheath,Cotton,Round Neckline,Puff Sleeves,Knee Length,Embroidered,Pink,Formal Dress
"Elegant Fit and Flare Satin Evening Gown with V Neckline, Long Sleeves, Floor Length design, Feathers detailing in Burgundy.",Fit and Flare,Satin,V Neckline,Long Sleeves,Floor Length,Feathers,Burgundy,Evening Gown
"Maxi Tulle Wedding Dress with V Neckline, Strapless, Layered bodice and White shade in a Empire silhouette.",Empire,Tulle,V Neckline,Strapless,Maxi,Layered,White,Wedding Dress
"Premium Crepe Evening Gown with Sweetheart, Cap Sleeves, Knee Length cut, None details and elegant Burgundy finish in Fit and Flare style.",Fit and Flare,Crepe,Sweetheart,Cap Sleeves,Knee Length,None,Burgundy,Evening Gown
"Emerald Crepe Empire dress featuring One Shoulder, Cap Sleeves, and Corset finish. Perfect as a Formal Dress.",Empire,Crepe,One Shoulder,Cap Sleeves,Floor Length,Corset,Emerald,Formal Dress
"Stylish A-line dress crafted from Velvet featuring One Shoulder, Short Sleeves, Feathers accents and Emerald color for a Casual Dress.",A-line,Velvet,One Shoulder,Short Sleeves,Maxi,Feathers,Emerald,Casual Dress
"Premium Lace Evening Gown with One Shoulder, Short Sleeves, Midi cut, Corset details and elegant Emerald finish in Mermaid style.",Mermaid,Lace,One Shoulder,Short Sleeves,Midi,Corset,Emerald,Evening Gown
"Stylish Fit and Flare dress crafted from Velvet featuring V Neckline, Puff Sleeves, Embroidered accents and Royal Navy color for a Prom Gown.",Fit and Flare,Velvet,V Neckline,Puff Sleeves,Knee Length,Embroidered,Royal Navy,Prom Gown
"Elegant Sheath Cotton Casual Dress with One Shoulder, Three Quarter Sleeves, Maxi design, Layered detailing in Green.",Sheath,Cotton,One Shoulder,Three Quarter Sleeves,Maxi,Layered,Green,Casual Dress
"Knee Length Cotton Bridesmaid Dress with Halter, Three Quarter Sleeves, Corset bodice and Burgundy shade in a Mermaid silhouette.",Mermaid,Cotton,Halter,Three Quarter Sleeves,Knee Length,Corset,Burgundy,Bridesmaid Dress
"Stylish Sheath dress crafted from Tulle featuring Halter, Three Quarter Sleeves, Ruched accents and Emerald color for a Prom Gown.",Sheath,Tulle,Halter,Three Quarter Sleeves,Floor Length,Ruched,Emerald,Prom Gown
"Premium Velvet Casual Dress with Boat Neck, Short Sleeves, Mini cut, Sequins details and elegant Emerald finish in Mermaid style.",Mermaid,Velvet,Boat Neck,Short Sleeves,Mini,Sequins,Emerald,Casual Dress
"Premium Lace Bridesmaid Dress with Off Shoulder, Short Sleeves, Maxi cut, Corset details and elegant Pink finish in Fit and Flare style.",Fit and Flare,Lace,Off Shoulder,Short Sleeves,Maxi,Corset,Pink,Bridesmaid Dress
"Royal Navy Velvet Empire dress featuring Round Neckline, Strapless, and Corset finish. Perfect as a Evening Gown.",Empire,Velvet,Round Neckline,Strapless,Knee Length,Corset,Royal Navy,Evening Gown
"Gold Chiffon Mermaid dress featuring Sweetheart, Long Sleeves, and Pleated finish. Perfect as a Evening Gown.",Mermaid,Chiffon,Sweetheart,Long Sleeves,Mini,Pleated,Gold,Evening Gown
"Stylish Fit and Flare dress crafted from Crepe featuring Round Neckline, Strapless, Corset accents and Sage color for a Wedding Dress.",Fit and Flare,Crepe,Round Neckline,Strapless,Mini,Corset,Sage,Wedding Dress
"Stylish Mermaid dress crafted from Lace featuring V Neckline, Long Sleeves, Embroidered accents and Dusty Blue color for a Casual Dress.",Mermaid,Lace,V Neckline,Long Sleeves,Maxi,Embroidered,Dusty Blue,Casual Dress
"Elegant Sheath Satin Cocktail Dress with V Neckline, Short Sleeves, Knee Length design, Corset detailing in White.",Sheath,Satin,V Neckline,Short Sleeves,Knee Length,Corset,White,Cocktail Dress
"Floor Length Jersey Wedding Dress with Off Shoulder, Strapless, Feathers bodice and Sage shade in a Empire silhouette.",Empire,Jersey,Off Shoulder,Strapless,Floor Length,Feathers,Sage,Wedding Dress
"Elegant Empire Jersey Prom Gown with Boat Neck, Puff Sleeves, Floor Length design, Pleated detailing in Silver.",Empire,Jersey,Boat Neck,Puff Sleeves,Floor Length,Pleated,Silver,Prom Gown
"Premium Cotton Cocktail Dress with Boat Neck, Three Quarter Sleeves, Mini cut, Beaded details and elegant Royal Navy finish in Ball Gown style.",Ball Gown,Cotton,Boat Neck,Three Quarter Sleeves,Mini,Beaded,Royal Navy,Cocktail Dress
"Navy Blue Lace A-line dress featuring V Neckline, Cap Sleeves, and Layered finish. Perfect as a Casual Dress.",A-line,Lace,V Neckline,Cap Sleeves,Maxi,Layered,Navy Blue,Casual Dress
"Premium Velvet Formal Dress with One Shoulder, Sleeveless, Knee Length cut, Corset details and elegant Green finish in Mermaid style.",Mermaid,Velvet,One Shoulder,Sleeveless,Knee Length,Corset,Green,Formal Dress
"Floor Length Cotton Cocktail Dress with Halter, Sleeveless, Sequins bodice and Burgundy shade in a Fit and Flare silhouette.",Fit and Flare,Cotton,Halter,Sleeveless,Floor Length,Sequins,Burgundy,Cocktail Dress
"Stylish Ball Gown dress crafted from Satin featuring V Neckline, Short Sleeves, Corset accents and Sage color for a Casual Dress.",Ball Gown,Satin,V Neckline,Short Sleeves,Midi,Corset,Sage,Casual Dress
"Elegant Fit and Flare Velvet Wedding Dress with Halter, Long Sleeves, Floor Length design, None detailing in Sage.",Fit and Flare,Velvet,Halter,Long Sleeves,Floor Length,None,Sage,Wedding Dress
"Black Chiffon Empire dress featuring Halter, Three Quarter Sleeves, and Corset finish. Perfect as a Casual Dress.",Empire,Chiffon,Halter,Three Quarter Sleeves,Midi,Corset,Black,Casual Dress
"Stylish Fit and Flare dress crafted from Chiffon featuring Boat Neck, Puff Sleeves, Beaded accents and Sage color for a Bridesmaid Dress.",Fit and Flare,Chiffon,Boat Neck,Puff Sleeves,Mini,Beaded,Sage,Bridesmaid Dress
"Stylish Mermaid dress crafted from Lace featuring Halter, Three Quarter Sleeves, Embroidered accents and Sage color for a Evening Gown.",Mermaid,Lace,Halter,Three Quarter Sleeves,Maxi,Embroidered,Sage,Evening Gown
"Stylish Mermaid dress crafted from Tulle featuring Round Neckline, Strapless, Ruched accents and Blush color for a Prom Gown.",Mermaid,Tulle,Round Neckline,Strapless,Knee Length,Ruched,Blush,Prom Gown
"Elegant Mermaid Jersey Evening Gown with V Neckline, Cap Sleeves, Mini design, Ruched detailing in Navy Blue.",Mermaid,Jersey,V Neckline,Cap Sleeves,Mini,Ruched,Navy Blue,Evening Gown
"Premium Chiffon Evening Gown with One Shoulder, Cap Sleeves, Mini cut, Sequins details and elegant Gold finish in Sheath style.",Sheath,Chiffon,One Shoulder,Cap Sleeves,Mini,Sequins,Gold,Evening Gown
"Stylish Sheath dress crafted from Crepe featuring V Neckline, Short Sleeves, None accents and Red color for a Evening Gown.",Sheath,Crepe,V Neckline,Short Sleeves,Midi,None,Red,Evening Gown
"Floor Length Crepe Cocktail Dress with Round Neckline, Sleeveless, Sequins bodice and Pink shade in a Fit and Flare silhouette.",Fit and Flare,Crepe,Round Neckline,Sleeveless,Floor Length,Sequins,Pink,Cocktail Dress
"Sage Chiffon Empire dress featuring Halter, Sleeveless, and Embroidered finish. Perfect as a Casual Dress.",Empire,Chiffon,Halter,Sleeveless,Knee Length,Embroidered,Sage,Casual Dress
"Premium Velvet Wedding Dress with Boat Neck, Cap Sleeves, Maxi cut, Layered details and elegant Royal Navy finish in Sheath style.",Sheath,Velvet,Boat Neck,Cap Sleeves,Maxi,Layered,Royal Navy,Wedding Dress
"Floor Length Jersey Casual Dress with Off Shoulder, Puff Sleeves, Beaded bodice and Dusty Blue shade in a Ball Gown silhouette.",Ball Gown,Jersey,Off Shoulder,Puff Sleeves,Floor Length,Beaded,Dusty Blue,Casual Dress
"Premium Tulle Evening Gown with Boat Neck, Strapless, Mini cut, Corset details and elegant Pink finish in Sheath style.",Sheath,Tulle,Boat Neck,Strapless,Mini,Corset,Pink,Evening Gown
"Premium Crepe Evening Gown with Sweetheart, Cap Sleeves, Floor Length cut, Layered details and elegant Emerald finish in Empire style.",Empire,Crepe,Sweetheart,Cap Sleeves,Floor Length,Layered,Emerald,Evening Gown
"Silver Jersey Empire dress featuring One Shoulder, Long Sleeves, and Sequins finish. Perfect as a Wedding Dress.",Empire,Jersey,One Shoulder,Long Sleeves,Knee Length,Sequins,Silver,Wedding Dress
"Blush Chiffon Sheath dress featuring Square Neckline, Three Quarter Sleeves, and Feathers finish. Perfect as a Prom Gown.",Sheath,Chiffon,Square Neckline,Three Quarter Sleeves,Maxi,Feathers,Blush,Prom Gown
"Stylish Sheath dress crafted from Chiffon featuring Sweetheart, Puff Sleeves, Ruched accents and Dusty Blue color for a Casual Dress.",Sheath,Chiffon,Sweetheart,Puff Sleeves,Floor Length,Ruched,Dusty Blue,Casual Dress
"Dusty Blue Crepe A-line dress featuring V Neckline, Three Quarter Sleeves, and Feathers finish. Perfect as a Prom Gown.",A-line,Crepe,V Neckline,Three Quarter Sleeves,Knee Length,Feathers,Dusty Blue,Prom Gown
"Floor Length Crepe Casual Dress with Boat Neck, Long Sleeves, Feathers bodice and Burgundy shade in a A-line silhouette.",A-line,Crepe,Boat Neck,Long Sleeves,Floor Length,Feathers,Burgundy,Casual Dress
"Elegant Fit and Flare Jersey Bridesmaid Dress with Square Neckline, Three Quarter Sleeves, Maxi design, None detailing in Black.",Fit and Flare,Jersey,Square Neckline,Three Quarter Sleeves,Maxi,None,Black,Bridesmaid Dress
"Elegant Ball Gown Velvet Formal Dress with Off Shoulder, Three Quarter Sleeves, Mini design, Feathers detailing in White.",Ball Gown,Velvet,Off Shoulder,Three Quarter Sleeves,Mini,Feathers,White,Formal Dress
"Mini Lace Casual Dress with Boat Neck, Sleeveless, Ruched bodice and Green shade in a Sheath silhouette.",Sheath,Lace,Boat Neck,Sleeveless,Mini,Ruched,Green,Casual Dress
"Blush Tulle Mermaid dress featuring Halter, Short Sleeves, and None finish. Perfect as a Bridesmaid Dress.",Mermaid,Tulle,Halter,Short Sleeves,Knee Length,None,Blush,Bridesmaid Dress
"Sage Lace Ball Gown dress featuring Round Neckline, Puff Sleeves, and Sequins finish. Perfect as a Bridesmaid Dress.",Ball Gown,Lace,Round Neckline,Puff Sleeves,Maxi,Sequins,Sage,Bridesmaid Dress
"Midi Crepe Wedding Dress with Boat Neck, Cap Sleeves, Pleated bodice and Green shade in a Ball Gown silhouette.",Ball Gown,Crepe,Boat Neck,Cap Sleeves,Midi,Pleated,Green,Wedding Dress
"Midi Lace Wedding Dress with Round Neckline, Cap Sleeves, Corset bodice and Burgundy shade in a Fit and Flare silhouette.",Fit and Flare,Lace,Round Neckline,Cap Sleeves,Midi,Corset,Burgundy,Wedding Dress
"Premium Velvet Wedding Dress with Off Shoulder, Cap Sleeves, Maxi cut, Embroidered details and elegant Royal Navy finish in Sheath style.",Sheath,Velvet,Off Shoulder,Cap Sleeves,Maxi,Embroidered,Royal Navy,Wedding Dress
